	ASCL1neg_corr	ASCL1neg_pval	ASCL1neg_qval	ASCL1neg_ci_low	ASCL1neg_ci_high	ASCL1pos_corr	ASCL1pos_pval	ASCL1pos_qval	ASCL1pos_ci_low	ASCL1pos_ci_high
ZNF275	-0.02818615136420225	1.5752642633945878e-10	1.9777329107276684e-10	-0.03681394338025549	-0.019554157680246112	0.02818584567026045	1.5759804644034386e-10	1.9786320959239658e-10	0.019553851860230308	0.03681363785788458
C8orf37	-0.028246537456905935	1.4398506320151646e-10	1.809994509132828e-10	-0.036874295549603545	-0.01961456870899914	0.028247775190225796	1.4371976015526936e-10	1.8066594614113056e-10	0.019615806954092218	0.03687553258693839
LTBP2	-0.028798340380508908	6.279140518483815e-11	7.938230743974481e-11	-0.037425785569301415	-0.020166602415569952	0.02879685715905263	6.29329303513014e-11	7.95612267399512e-11	0.020165118566725013	0.03742430319596074
INPP5E	-0.02913102560599033	3.7789349752694955e-11	4.780436401352936e-11	-0.03775827960384175	-0.020499429324579557	0.029130225243790313	3.783579676094699e-11	4.786312050720682e-11	0.020498628619226668	0.03775747970389433
ERGIC2	-0.029423955944283566	2.405340879720773e-11	3.050527431478469e-11	-0.038051040016462874	-0.02079248599950753	0.029424279952007353	2.4041335009340262e-11	3.048996196492107e-11	0.020792810147792377	0.03805136383541339
CBX6	-0.029456563150230708	2.2867617487059592e-11	2.901981914601471e-11	-0.038083628215726424	-0.020825107360213733	0.029458512964909755	2.2798553387865642e-11	2.895054398459129e-11	0.02082705802188794	0.03808557689328044
MLH3	-0.029457365799913888	2.2839162183577986e-11	2.900211070930538e-11	-0.038084430397315086	-0.02082591035855819	0.029456276203709164	2.287779865097652e-11	2.9032739404792536e-11	0.020824820289048803	0.038083341436545536
CIPC	-0.029516504256180576	2.0835273072677237e-11	2.6474298694634354e-11	-0.03814353433423815	-0.020885074534489265	0.029517625833353597	2.0798982988071574e-11	2.642818677010365e-11	0.02088619660002697	0.038144655256159045
COMMD4	-0.029564268773635632	1.9343375139728097e-11	2.4594246840086583e-11	-0.03819127092729754	-0.02093285986914663	0.029561731135423888	1.9419936186311542e-11	2.4691590828113848e-11	0.020930321123964493	0.03818873477364638
HERPUD2	-0.02977193787500239	1.3984901888445966e-11	1.7792496041279854e-11	-0.03839881816207797	-0.021140619937365886	0.029772396380418155	1.3974856132745797e-11	1.777971518161043e-11	0.021141078644448974	0.03839927639760523
C2orf49	-0.030120263593492538	8.076821666780507e-12	1.0302068452526157e-11	-0.03874693780113232	-0.021489099909405333	0.030121639278160795	8.059230583554854e-12	1.0279630846370987e-11	0.021490476207443574	0.038748312667754845
NFE2L3	-0.030630243847487956	3.5756425353366506e-12	4.5753583305651325e-12	-0.039256612559019105	-0.021999309787650224	0.030630419318386785	3.574632057526577e-12	4.574065332727546e-12	0.021999485338330464	0.03925678792403222
MMGT1	-0.03070436733291794	3.1727896034101462e-12	4.0624706829835415e-12	-0.03933069126826218	-0.0220734670222021	0.030704048763337818	3.174421887455314e-12	4.064560675358917e-12	0.022073148307371032	0.03933037289132505
PPP1R21	-0.03080569101100688	2.6932877499721485e-12	3.4507210121360008e-12	-0.039431953585790665	-0.02217483698756309	0.030806723616998717	2.6887870209988355e-12	3.44495454324002e-12	0.022175870066189523	0.03943298556553505
PCGF1	-0.030836071374310155	2.563910518259873e-12	3.2870647669998373e-12	-0.03946231551653605	-0.02220523126398319	0.030835740621672176	2.5652856843966633e-12	3.2888278005085426e-12	0.02220490035978646	0.03946198496466008
